OutageID,StartTime,DurationMinutes,Feeder,Cause,AffectedCustomers,EndTime
1290,2023-07-11 15:00:00,193,Feeder_3,Unknown,163,2023-07-11 18:13:00
1291,2023-07-11 19:00:00,49,Feeder_6,Weather (Heavy Rain),735,2023-07-11 19:49:00
1292,2023-07-11 19:00:00,96,Feeder_7,Planned Maintenance,360,2023-07-11 20:36:00
1293,2023-07-12 03:00:00,403,Feeder_1,Unknown,44,2023-07-12 09:43:00
1294,2023-07-12 04:00:00,412,Feeder_2,Equipment Failure,332,2023-07-12 10:52:00
1295,2023-07-12 04:00:00,234,Feeder_4,Equipment Failure,321,2023-07-12 07:54:00
1296,2023-07-12 07:00:00,172,Feeder_8,Equipment Failure,305,2023-07-12 09:52:00
1297,2023-07-12 08:00:00,18,Feeder_10,Weather (Heavy Rain),1331,2023-07-12 08:18:00
1298,2023-07-12 08:00:00,181,Feeder_6,Planned Maintenance,166,2023-07-12 11:01:00
1299,2023-07-12 13:00:00,462,Feeder_1,Tree Contact,143,2023-07-12 20:42:00
1300,2023-07-12 13:00:00,423,Feeder_10,Weather (Heavy Rain),1318,2023-07-12 20:03:00
1301,2023-07-12 16:00:00,426,Feeder_5,Weather (Heavy Rain),978,2023-07-12 23:06:00
1302,2023-07-12 19:00:00,218,Feeder_7,Equipment Failure,445,2023-07-12 22:38:00
1303,2023-07-12 20:00:00,208,Feeder_6,Overload,937,2023-07-12 23:28:00
1304,2023-07-13 00:00:00,249,Feeder_9,Equipment Failure,367,2023-07-13 04:09:00
1305,2023-07-13 01:00:00,220,Feeder_8,Equipment Failure,427,2023-07-13 04:40:00
1306,2023-07-13 05:00:00,164,Feeder_4,Unknown,380,2023-07-13 07:44:00
1307,2023-07-13 05:00:00,173,Feeder_5,Unknown,261,2023-07-13 07:53:00
1308,2023-07-13 10:00:00,293,Feeder_7,Unknown,144,2023-07-13 14:53:00
1309,2023-07-13 12:00:00,318,Feeder_8,Planned Maintenance,340,2023-07-13 17:18:00
1310,2023-07-13 16:00:00,418,Feeder_5,Planned Maintenance,20,2023-07-13 22:58:00
1311,2023-07-13 16:00:00,395,Feeder_9,Weather (High Wind),1079,2023-07-13 22:35:00
1312,2023-07-13 18:00:00,180,Feeder_10,Weather (High Wind),485,2023-07-13 21:00:00
1313,2023-07-13 19:00:00,325,Feeder_4,Weather (High Wind),721,2023-07-14 00:25:00
1314,2023-07-13 20:00:00,82,Feeder_4,Weather (Heavy Rain),765,2023-07-13 21:22:00
1315,2023-07-13 22:00:00,477,Feeder_8,Tree Contact,200,2023-07-14 05:57:00
1316,2023-07-14 01:00:00,102,Feeder_1,Planned Maintenance,462,2023-07-14 02:42:00
1317,2023-07-14 02:00:00,231,Feeder_8,Overload,982,2023-07-14 05:51:00
1318,2023-07-14 06:00:00,15,Feeder_5,Weather (Heavy Rain),382,2023-07-14 06:15:00
1319,2023-07-14 10:00:00,149,Feeder_1,Tree Contact,423,2023-07-14 12:29:00
1320,2023-07-14 12:00:00,199,Feeder_4,Overload,301,2023-07-14 15:19:00
1321,2023-07-14 13:00:00,365,Feeder_2,Unknown,377,2023-07-14 19:05:00
1322,2023-07-14 14:00:00,154,Feeder_4,Overload,856,2023-07-14 16:34:00
1323,2023-07-14 17:00:00,120,Feeder_8,Overload,655,2023-07-14 19:00:00
1324,2023-07-14 19:00:00,147,Feeder_5,Equipment Failure,93,2023-07-14 21:27:00
1325,2023-07-14 19:00:00,122,Feeder_1,Unknown,159,2023-07-14 21:02:00
1326,2023-07-14 19:00:00,192,Feeder_7,Weather (Heavy Rain),866,2023-07-14 22:12:00
1327,2023-07-15 03:00:00,312,Feeder_1,Weather (High Wind),942,2023-07-15 08:12:00
1328,2023-07-15 06:00:00,372,Feeder_9,Unknown,30,2023-07-15 12:12:00
1329,2023-07-15 17:00:00,394,Feeder_3,Overload,858,2023-07-15 23:34:00
1330,2023-07-15 23:00:00,410,Feeder_3,Equipment Failure,255,2023-07-16 05:50:00
1331,2023-07-16 08:00:00,373,Feeder_6,Equipment Failure,292,2023-07-16 14:13:00
1332,2023-07-16 09:00:00,160,Feeder_10,Planned Maintenance,111,2023-07-16 11:40:00
1333,2023-07-16 15:00:00,464,Feeder_6,Weather (High Wind),624,2023-07-16 22:44:00
1334,2023-07-16 23:00:00,88,Feeder_6,Overload,972,2023-07-17 00:28:00
1335,2023-07-17 00:00:00,477,Feeder_1,Equipment Failure,241,2023-07-17 07:57:00
1336,2023-07-17 01:00:00,122,Feeder_5,Equipment Failure,325,2023-07-17 03:02:00
1337,2023-07-17 05:00:00,136,Feeder_6,Weather (High Wind),350,2023-07-17 07:16:00
1338,2023-07-17 07:00:00,31,Feeder_8,Equipment Failure,297,2023-07-17 07:31:00
1339,2023-07-17 08:00:00,210,Feeder_1,Equipment Failure,345,2023-07-17 11:30:00
1340,2023-07-17 09:00:00,341,Feeder_5,Tree Contact,485,2023-07-17 14:41:00
1341,2023-07-17 20:00:00,332,Feeder_3,Weather (High Wind),1350,2023-07-18 01:32:00
1342,2023-07-18 05:00:00,311,Feeder_2,Weather (High Wind),976,2023-07-18 10:11:00
1343,2023-07-18 05:00:00,266,Feeder_8,Tree Contact,254,2023-07-18 09:26:00
1344,2023-07-18 05:00:00,133,Feeder_7,Weather (High Wind),1280,2023-07-18 07:13:00
1345,2023-07-18 06:00:00,176,Feeder_10,Weather (Heavy Rain),1092,2023-07-18 08:56:00
1346,2023-07-18 08:00:00,212,Feeder_7,Unknown,222,2023-07-18 11:32:00
1347,2023-07-18 09:00:00,59,Feeder_5,Equipment Failure,367,2023-07-18 09:59:00
1348,2023-07-18 11:00:00,328,Feeder_9,Weather (High Wind),1385,2023-07-18 16:28:00
1349,2023-07-18 13:00:00,193,Feeder_5,Tree Contact,295,2023-07-18 16:13:00
1350,2023-07-18 17:00:00,396,Feeder_2,Equipment Failure,31,2023-07-18 23:36:00
1351,2023-07-19 00:00:00,432,Feeder_3,Planned Maintenance,28,2023-07-19 07:12:00
1352,2023-07-19 01:00:00,58,Feeder_4,Overload,990,2023-07-19 01:58:00
1353,2023-07-19 01:00:00,285,Feeder_5,Tree Contact,285,2023-07-19 05:45:00
1354,2023-07-19 04:00:00,92,Feeder_3,Tree Contact,156,2023-07-19 05:32:00
1355,2023-07-19 04:00:00,340,Feeder_7,Overload,725,2023-07-19 09:40:00
1356,2023-07-19 04:00:00,192,Feeder_5,Tree Contact,49,2023-07-19 07:12:00
1357,2023-07-19 14:00:00,371,Feeder_5,Tree Contact,176,2023-07-19 20:11:00
1358,2023-07-19 19:00:00,430,Feeder_6,Planned Maintenance,100,2023-07-20 02:10:00
1359,2023-07-19 20:00:00,465,Feeder_7,Planned Maintenance,81,2023-07-20 03:45:00
1360,2023-07-19 22:00:00,17,Feeder_10,Equipment Failure,374,2023-07-19 22:17:00
1361,2023-07-19 23:00:00,228,Feeder_10,Weather (Heavy Rain),956,2023-07-20 02:48:00
1362,2023-07-20 04:00:00,356,Feeder_8,Unknown,292,2023-07-20 09:56:00
1363,2023-07-20 05:00:00,88,Feeder_9,Equipment Failure,344,2023-07-20 06:28:00
1364,2023-07-20 06:00:00,65,Feeder_4,Tree Contact,149,2023-07-20 07:05:00
1365,2023-07-20 06:00:00,81,Feeder_5,Planned Maintenance,248,2023-07-20 07:21:00
1366,2023-07-20 09:00:00,346,Feeder_5,Weather (High Wind),1494,2023-07-20 14:46:00
1367,2023-07-20 15:00:00,107,Feeder_8,Equipment Failure,208,2023-07-20 16:47:00
1368,2023-07-20 18:00:00,190,Feeder_9,Tree Contact,26,2023-07-20 21:10:00
1369,2023-07-20 20:00:00,159,Feeder_7,Weather (Heavy Rain),416,2023-07-20 22:39:00
1370,2023-07-21 03:00:00,21,Feeder_5,Unknown,238,2023-07-21 03:21:00
1371,2023-07-21 07:00:00,283,Feeder_3,Equipment Failure,349,2023-07-21 11:43:00
1372,2023-07-21 11:00:00,390,Feeder_1,Unknown,147,2023-07-21 17:30:00
1373,2023-07-21 13:00:00,336,Feeder_9,Tree Contact,156,2023-07-21 18:36:00
1374,2023-07-21 13:00:00,18,Feeder_5,Overload,465,2023-07-21 13:18:00
1375,2023-07-21 17:00:00,152,Feeder_9,Tree Contact,167,2023-07-21 19:32:00
1376,2023-07-21 22:00:00,245,Feeder_10,Weather (High Wind),1327,2023-07-22 02:05:00
1377,2023-07-22 05:00:00,102,Feeder_4,Overload,486,2023-07-22 06:42:00
1378,2023-07-22 06:00:00,31,Feeder_5,Overload,340,2023-07-22 06:31:00
1379,2023-07-22 07:00:00,66,Feeder_4,Unknown,339,2023-07-22 08:06:00
1380,2023-07-22 09:00:00,148,Feeder_2,Unknown,392,2023-07-22 11:28:00
1381,2023-07-22 10:00:00,225,Feeder_1,Overload,605,2023-07-22 13:45:00
1382,2023-07-23 01:00:00,339,Feeder_8,Equipment Failure,367,2023-07-23 06:39:00
1383,2023-07-23 01:00:00,472,Feeder_4,Planned Maintenance,361,2023-07-23 08:52:00
1384,2023-07-23 01:00:00,407,Feeder_5,Weather (High Wind),1389,2023-07-23 07:47:00
1385,2023-07-23 03:00:00,233,Feeder_6,Equipment Failure,316,2023-07-23 06:53:00
1386,2023-07-23 03:00:00,219,Feeder_8,Unknown,110,2023-07-23 06:39:00
1387,2023-07-23 10:00:00,225,Feeder_8,Equipment Failure,336,2023-07-23 13:45:00
1388,2023-07-23 14:00:00,291,Feeder_7,Weather (High Wind),1383,2023-07-23 18:51:00
1389,2023-07-23 15:00:00,38,Feeder_4,Tree Contact,164,2023-07-23 15:38:00
1390,2023-07-23 19:00:00,18,Feeder_6,Weather (Heavy Rain),1204,2023-07-23 19:18:00
1391,2023-07-23 20:00:00,166,Feeder_4,Overload,492,2023-07-23 22:46:00
1392,2023-07-23 23:00:00,457,Feeder_7,Weather (High Wind),801,2023-07-24 06:37:00
1393,2023-07-23 23:00:00,273,Feeder_1,Unknown,192,2023-07-24 03:33:00
1394,2023-07-24 10:00:00,338,Feeder_5,Tree Contact,464,2023-07-24 15:38:00
1395,2023-07-24 14:00:00,371,Feeder_10,Weather (Heavy Rain),1098,2023-07-24 20:11:00
1396,2023-07-24 16:00:00,182,Feeder_10,Overload,230,2023-07-24 19:02:00
1397,2023-07-24 21:00:00,190,Feeder_4,Unknown,342,2023-07-25 00:10:00
1398,2023-07-24 21:00:00,324,Feeder_7,Unknown,441,2023-07-25 02:24:00
1399,2023-07-25 00:00:00,305,Feeder_9,Planned Maintenance,342,2023-07-25 05:05:00
1400,2023-07-25 02:00:00,70,Feeder_5,Weather (Heavy Rain),1156,2023-07-25 03:10:00
1401,2023-07-25 02:00:00,122,Feeder_4,Unknown,220,2023-07-25 04:02:00
1402,2023-07-25 06:00:00,310,Feeder_9,Equipment Failure,60,2023-07-25 11:10:00
1403,2023-07-25 07:00:00,475,Feeder_5,Tree Contact,454,2023-07-25 14:55:00
1404,2023-07-25 11:00:00,338,Feeder_9,Weather (Heavy Rain),1423,2023-07-25 16:38:00
1405,2023-07-25 13:00:00,316,Feeder_8,Tree Contact,386,2023-07-25 18:16:00
1406,2023-07-25 13:00:00,348,Feeder_4,Unknown,137,2023-07-25 18:48:00
1407,2023-07-25 17:00:00,155,Feeder_7,Weather (High Wind),1442,2023-07-25 19:35:00
1408,2023-07-25 18:00:00,169,Feeder_5,Equipment Failure,267,2023-07-25 20:49:00
1409,2023-07-25 19:00:00,276,Feeder_10,Overload,370,2023-07-25 23:36:00
1410,2023-07-25 20:00:00,287,Feeder_4,Overload,554,2023-07-26 00:47:00
1411,2023-07-25 22:00:00,434,Feeder_5,Weather (Heavy Rain),368,2023-07-26 05:14:00
1412,2023-07-25 23:00:00,246,Feeder_5,Overload,404,2023-07-26 03:06:00
1413,2023-07-26 00:00:00,255,Feeder_9,Equipment Failure,288,2023-07-26 04:15:00
1414,2023-07-26 01:00:00,369,Feeder_9,Weather (High Wind),963,2023-07-26 07:09:00
1415,2023-07-26 02:00:00,351,Feeder_6,Unknown,408,2023-07-26 07:51:00
1416,2023-07-26 12:00:00,272,Feeder_4,Unknown,143,2023-07-26 16:32:00
1417,2023-07-26 14:00:00,263,Feeder_2,Unknown,229,2023-07-26 18:23:00
1418,2023-07-26 20:00:00,91,Feeder_3,Planned Maintenance,172,2023-07-26 21:31:00
1419,2023-07-26 23:00:00,194,Feeder_2,Equipment Failure,468,2023-07-27 02:14:00
1420,2023-07-27 03:00:00,80,Feeder_5,Unknown,145,2023-07-27 04:20:00
1421,2023-07-27 08:00:00,322,Feeder_6,Tree Contact,66,2023-07-27 13:22:00
1422,2023-07-27 18:00:00,362,Feeder_5,Planned Maintenance,443,2023-07-28 00:02:00
1423,2023-07-27 19:00:00,185,Feeder_2,Weather (Heavy Rain),1091,2023-07-27 22:05:00
1424,2023-07-28 00:00:00,36,Feeder_5,Unknown,124,2023-07-28 00:36:00
1425,2023-07-28 02:00:00,381,Feeder_9,Tree Contact,481,2023-07-28 08:21:00
1426,2023-07-28 04:00:00,121,Feeder_4,Equipment Failure,158,2023-07-28 06:01:00
1427,2023-07-28 05:00:00,453,Feeder_10,Weather (Heavy Rain),520,2023-07-28 12:33:00
1428,2023-07-28 06:00:00,337,Feeder_2,Equipment Failure,132,2023-07-28 11:37:00
1429,2023-07-28 10:00:00,241,Feeder_3,Unknown,301,2023-07-28 14:01:00
1430,2023-07-28 12:00:00,458,Feeder_3,Weather (Heavy Rain),1309,2023-07-28 19:38:00
1431,2023-07-28 18:00:00,456,Feeder_9,Weather (Heavy Rain),522,2023-07-29 01:36:00
1432,2023-07-28 22:00:00,410,Feeder_4,Unknown,323,2023-07-29 04:50:00
1433,2023-07-29 00:00:00,230,Feeder_1,Weather (High Wind),976,2023-07-29 03:50:00
1434,2023-07-29 01:00:00,83,Feeder_1,Overload,677,2023-07-29 02:23:00
1435,2023-07-29 05:00:00,98,Feeder_7,Overload,490,2023-07-29 06:38:00
1436,2023-07-29 13:00:00,117,Feeder_7,Weather (Heavy Rain),510,2023-07-29 14:57:00
1437,2023-07-29 17:00:00,53,Feeder_2,Unknown,87,2023-07-29 17:53:00
1438,2023-07-29 20:00:00,27,Feeder_9,Planned Maintenance,131,2023-07-29 20:27:00
1439,2023-07-29 21:00:00,311,Feeder_9,Unknown,445,2023-07-30 02:11:00
1440,2023-07-29 23:00:00,327,Feeder_5,Equipment Failure,267,2023-07-30 04:27:00
1441,2023-07-30 11:00:00,195,Feeder_3,Overload,310,2023-07-30 14:15:00
1442,2023-07-30 11:00:00,282,Feeder_3,Equipment Failure,488,2023-07-30 15:42:00
1443,2023-07-30 12:00:00,27,Feeder_3,Planned Maintenance,123,2023-07-30 12:27:00
1444,2023-07-30 14:00:00,134,Feeder_6,Equipment Failure,379,2023-07-30 16:14:00
1445,2023-07-30 15:00:00,472,Feeder_4,Equipment Failure,470,2023-07-30 22:52:00
1446,2023-07-30 16:00:00,367,Feeder_8,Weather (Heavy Rain),1230,2023-07-30 22:07:00
1447,2023-07-30 17:00:00,71,Feeder_5,Tree Contact,155,2023-07-30 18:11:00
1448,2023-07-30 20:00:00,54,Feeder_1,Planned Maintenance,474,2023-07-30 20:54:00
1449,2023-07-31 09:00:00,388,Feeder_9,Tree Contact,246,2023-07-31 15:28:00
1450,2023-07-31 10:00:00,350,Feeder_1,Tree Contact,485,2023-07-31 15:50:00
1451,2023-07-31 10:00:00,142,Feeder_6,Tree Contact,469,2023-07-31 12:22:00
1452,2023-07-31 11:00:00,187,Feeder_1,Unknown,428,2023-07-31 14:07:00
1453,2023-07-31 14:00:00,49,Feeder_3,Tree Contact,95,2023-07-31 14:49:00
1454,2023-07-31 20:00:00,273,Feeder_10,Overload,267,2023-08-01 00:33:00
1455,2023-07-31 21:00:00,390,Feeder_5,Overload,894,2023-08-01 03:30:00
1456,2023-08-01 05:00:00,19,Feeder_10,Equipment Failure,174,2023-08-01 05:19:00
1457,2023-08-01 09:00:00,232,Feeder_7,Unknown,286,2023-08-01 12:52:00
1458,2023-08-01 15:00:00,25,Feeder_10,Equipment Failure,266,2023-08-01 15:25:00
1459,2023-08-01 16:00:00,396,Feeder_8,Unknown,141,2023-08-01 22:36:00
1460,2023-08-01 17:00:00,341,Feeder_9,Overload,572,2023-08-01 22:41:00
1461,2023-08-01 17:00:00,131,Feeder_6,Unknown,67,2023-08-01 19:11:00
1462,2023-08-01 21:00:00,198,Feeder_9,Planned Maintenance,266,2023-08-02 00:18:00
1463,2023-08-01 22:00:00,408,Feeder_8,Weather (Heavy Rain),1185,2023-08-02 04:48:00
1464,2023-08-02 07:00:00,376,Feeder_9,Weather (High Wind),1181,2023-08-02 13:16:00
1465,2023-08-02 10:00:00,130,Feeder_10,Overload,395,2023-08-02 12:10:00
1466,2023-08-02 12:00:00,176,Feeder_4,Weather (Heavy Rain),561,2023-08-02 14:56:00
1467,2023-08-02 14:00:00,81,Feeder_9,Overload,325,2023-08-02 15:21:00
1468,2023-08-02 14:00:00,214,Feeder_7,Tree Contact,16,2023-08-02 17:34:00
1469,2023-08-02 20:00:00,45,Feeder_5,Planned Maintenance,60,2023-08-02 20:45:00
1470,2023-08-03 00:00:00,89,Feeder_5,Overload,886,2023-08-03 01:29:00
1471,2023-08-03 05:00:00,251,Feeder_1,Unknown,187,2023-08-03 09:11:00
1472,2023-08-04 02:00:00,341,Feeder_2,Tree Contact,419,2023-08-04 07:41:00
1473,2023-08-04 17:00:00,80,Feeder_10,Weather (Heavy Rain),817,2023-08-04 18:20:00
1474,2023-08-04 18:00:00,84,Feeder_3,Unknown,365,2023-08-04 19:24:00
1475,2023-08-04 18:00:00,311,Feeder_8,Weather (High Wind),1097,2023-08-04 23:11:00
1476,2023-08-04 19:00:00,461,Feeder_6,Weather (High Wind),1386,2023-08-05 02:41:00
1477,2023-08-05 00:00:00,430,Feeder_10,Planned Maintenance,460,2023-08-05 07:10:00
1478,2023-08-05 01:00:00,34,Feeder_5,Unknown,373,2023-08-05 01:34:00
1479,2023-08-05 05:00:00,455,Feeder_1,Overload,461,2023-08-05 12:35:00
1480,2023-08-05 13:00:00,240,Feeder_9,Weather (High Wind),839,2023-08-05 17:00:00
1481,2023-08-06 00:00:00,448,Feeder_3,Tree Contact,53,2023-08-06 07:28:00
1482,2023-08-06 01:00:00,478,Feeder_3,Equipment Failure,90,2023-08-06 08:58:00
1483,2023-08-06 05:00:00,423,Feeder_2,Equipment Failure,175,2023-08-06 12:03:00
1484,2023-08-06 15:00:00,410,Feeder_4,Overload,997,2023-08-06 21:50:00
1485,2023-08-06 21:00:00,213,Feeder_2,Weather (Heavy Rain),716,2023-08-07 00:33:00
1486,2023-08-07 00:00:00,53,Feeder_9,Unknown,145,2023-08-07 00:53:00
1487,2023-08-07 00:00:00,159,Feeder_10,Planned Maintenance,23,2023-08-07 02:39:00
1488,2023-08-07 01:00:00,59,Feeder_7,Weather (Heavy Rain),352,2023-08-07 01:59:00
1489,2023-08-07 05:00:00,409,Feeder_8,Equipment Failure,492,2023-08-07 11:49:00
1490,2023-08-07 06:00:00,340,Feeder_3,Overload,354,2023-08-07 11:40:00
1491,2023-08-07 08:00:00,395,Feeder_6,Tree Contact,368,2023-08-07 14:35:00
1492,2023-08-07 10:00:00,421,Feeder_10,Weather (High Wind),337,2023-08-07 17:01:00
1493,2023-08-07 11:00:00,105,Feeder_6,Equipment Failure,84,2023-08-07 12:45:00
1494,2023-08-07 15:00:00,252,Feeder_1,Weather (Heavy Rain),607,2023-08-07 19:12:00
1495,2023-08-07 17:00:00,84,Feeder_6,Unknown,88,2023-08-07 18:24:00
1496,2023-08-07 19:00:00,180,Feeder_3,Planned Maintenance,203,2023-08-07 22:00:00
1497,2023-08-08 00:00:00,144,Feeder_3,Planned Maintenance,494,2023-08-08 02:24:00
1498,2023-08-08 02:00:00,228,Feeder_3,Weather (High Wind),1145,2023-08-08 05:48:00
1499,2023-08-08 20:00:00,354,Feeder_10,Overload,780,2023-08-09 01:54:00
1500,2023-08-08 20:00:00,103,Feeder_10,Equipment Failure,49,2023-08-08 21:43:00
1501,2023-08-09 03:00:00,349,Feeder_8,Unknown,265,2023-08-09 08:49:00
1502,2023-08-09 05:00:00,266,Feeder_5,Weather (High Wind),1197,2023-08-09 09:26:00
1503,2023-08-09 07:00:00,383,Feeder_4,Weather (Heavy Rain),352,2023-08-09 13:23:00
1504,2023-08-09 07:00:00,363,Feeder_9,Equipment Failure,26,2023-08-09 13:03:00
1505,2023-08-09 15:00:00,86,Feeder_9,Weather (High Wind),905,2023-08-09 16:26:00
1506,2023-08-09 16:00:00,179,Feeder_1,Equipment Failure,426,2023-08-09 18:59:00
1507,2023-08-09 19:00:00,63,Feeder_2,Equipment Failure,281,2023-08-09 20:03:00
1508,2023-08-09 19:00:00,66,Feeder_8,Overload,307,2023-08-09 20:06:00
1509,2023-08-09 21:00:00,303,Feeder_5,Tree Contact,256,2023-08-10 02:03:00
1510,2023-08-10 03:00:00,292,Feeder_7,Equipment Failure,223,2023-08-10 07:52:00
1511,2023-08-10 06:00:00,128,Feeder_1,Equipment Failure,160,2023-08-10 08:08:00
1512,2023-08-10 07:00:00,253,Feeder_10,Planned Maintenance,301,2023-08-10 11:13:00
1513,2023-08-10 09:00:00,147,Feeder_5,Weather (Heavy Rain),751,2023-08-10 11:27:00
1514,2023-08-10 12:00:00,288,Feeder_3,Weather (Heavy Rain),760,2023-08-10 16:48:00
1515,2023-08-10 15:00:00,180,Feeder_10,Tree Contact,123,2023-08-10 18:00:00
1516,2023-08-10 16:00:00,388,Feeder_2,Unknown,339,2023-08-10 22:28:00
1517,2023-08-11 02:00:00,387,Feeder_2,Equipment Failure,90,2023-08-11 08:27:00
1518,2023-08-11 06:00:00,307,Feeder_9,Equipment Failure,359,2023-08-11 11:07:00
1519,2023-08-11 14:00:00,257,Feeder_4,Weather (High Wind),1074,2023-08-11 18:17:00
1520,2023-08-11 19:00:00,334,Feeder_4,Equipment Failure,39,2023-08-12 00:34:00
1521,2023-08-11 19:00:00,152,Feeder_7,Weather (Heavy Rain),1460,2023-08-11 21:32:00
1522,2023-08-12 03:00:00,93,Feeder_10,Weather (Heavy Rain),694,2023-08-12 04:33:00
1523,2023-08-12 14:00:00,184,Feeder_10,Unknown,464,2023-08-12 17:04:00
1524,2023-08-12 14:00:00,137,Feeder_2,Unknown,275,2023-08-12 16:17:00
1525,2023-08-12 16:00:00,190,Feeder_3,Unknown,108,2023-08-12 19:10:00
1526,2023-08-12 18:00:00,314,Feeder_3,Equipment Failure,459,2023-08-12 23:14:00
1527,2023-08-12 21:00:00,96,Feeder_6,Unknown,103,2023-08-12 22:36:00
1528,2023-08-12 22:00:00,101,Feeder_3,Equipment Failure,220,2023-08-12 23:41:00
1529,2023-08-13 11:00:00,239,Feeder_5,Weather (High Wind),1360,2023-08-13 14:59:00
1530,2023-08-13 14:00:00,30,Feeder_4,Planned Maintenance,46,2023-08-13 14:30:00
1531,2023-08-13 14:00:00,324,Feeder_3,Equipment Failure,396,2023-08-13 19:24:00
1532,2023-08-13 19:00:00,372,Feeder_8,Weather (High Wind),1470,2023-08-14 01:12:00
1533,2023-08-14 02:00:00,177,Feeder_10,Equipment Failure,427,2023-08-14 04:57:00
1534,2023-08-14 08:00:00,112,Feeder_3,Overload,622,2023-08-14 09:52:00
1535,2023-08-14 10:00:00,170,Feeder_6,Unknown,223,2023-08-14 12:50:00
1536,2023-08-14 15:00:00,16,Feeder_7,Equipment Failure,431,2023-08-14 15:16:00
1537,2023-08-14 17:00:00,364,Feeder_7,Equipment Failure,23,2023-08-14 23:04:00
1538,2023-08-14 23:00:00,411,Feeder_2,Tree Contact,201,2023-08-15 05:51:00
1539,2023-08-15 04:00:00,183,Feeder_3,Unknown,304,2023-08-15 07:03:00
1540,2023-08-15 05:00:00,478,Feeder_10,Equipment Failure,191,2023-08-15 12:58:00
1541,2023-08-15 08:00:00,329,Feeder_10,Tree Contact,139,2023-08-15 13:29:00
1542,2023-08-15 09:00:00,339,Feeder_4,Unknown,233,2023-08-15 14:39:00
1543,2023-08-15 11:00:00,389,Feeder_7,Equipment Failure,52,2023-08-15 17:29:00
1544,2023-08-15 15:00:00,106,Feeder_2,Overload,234,2023-08-15 16:46:00
1545,2023-08-15 18:00:00,195,Feeder_3,Planned Maintenance,396,2023-08-15 21:15:00
1546,2023-08-15 19:00:00,245,Feeder_7,Weather (Heavy Rain),1331,2023-08-15 23:05:00
1547,2023-08-15 21:00:00,315,Feeder_7,Unknown,273,2023-08-16 02:15:00
1548,2023-08-15 21:00:00,162,Feeder_10,Equipment Failure,483,2023-08-15 23:42:00
1549,2023-08-15 23:00:00,294,Feeder_3,Unknown,105,2023-08-16 03:54:00
1550,2023-08-16 00:00:00,203,Feeder_1,Unknown,212,2023-08-16 03:23:00
1551,2023-08-16 02:00:00,361,Feeder_3,Equipment Failure,456,2023-08-16 08:01:00
1552,2023-08-16 02:00:00,364,Feeder_5,Equipment Failure,330,2023-08-16 08:04:00
1553,2023-08-16 03:00:00,328,Feeder_7,Unknown,344,2023-08-16 08:28:00
1554,2023-08-16 04:00:00,425,Feeder_4,Tree Contact,397,2023-08-16 11:05:00
1555,2023-08-16 06:00:00,424,Feeder_1,Weather (Heavy Rain),946,2023-08-16 13:04:00
1556,2023-08-16 06:00:00,142,Feeder_6,Weather (High Wind),562,2023-08-16 08:22:00
1557,2023-08-16 09:00:00,21,Feeder_2,Planned Maintenance,275,2023-08-16 09:21:00
1558,2023-08-16 14:00:00,440,Feeder_3,Unknown,340,2023-08-16 21:20:00
1559,2023-08-16 15:00:00,61,Feeder_4,Equipment Failure,187,2023-08-16 16:01:00
1560,2023-08-16 21:00:00,67,Feeder_6,Overload,243,2023-08-16 22:07:00
1561,2023-08-17 03:00:00,201,Feeder_6,Unknown,326,2023-08-17 06:21:00
1562,2023-08-17 04:00:00,52,Feeder_7,Unknown,56,2023-08-17 04:52:00
1563,2023-08-17 04:00:00,467,Feeder_5,Weather (High Wind),931,2023-08-17 11:47:00
1564,2023-08-17 08:00:00,240,Feeder_7,Unknown,496,2023-08-17 12:00:00
1565,2023-08-17 10:00:00,67,Feeder_2,Planned Maintenance,112,2023-08-17 11:07:00
1566,2023-08-17 14:00:00,413,Feeder_1,Overload,854,2023-08-17 20:53:00
1567,2023-08-17 16:00:00,238,Feeder_10,Unknown,31,2023-08-17 19:58:00
1568,2023-08-17 18:00:00,168,Feeder_8,Tree Contact,125,2023-08-17 20:48:00
1569,2023-08-17 23:00:00,62,Feeder_1,Equipment Failure,356,2023-08-18 00:02:00
1570,2023-08-18 02:00:00,365,Feeder_2,Overload,922,2023-08-18 08:05:00
1571,2023-08-18 10:00:00,161,Feeder_10,Planned Maintenance,473,2023-08-18 12:41:00
1572,2023-08-18 13:00:00,407,Feeder_6,Unknown,113,2023-08-18 19:47:00
1573,2023-08-18 14:00:00,78,Feeder_1,Overload,615,2023-08-18 15:18:00
1574,2023-08-18 19:00:00,363,Feeder_10,Overload,484,2023-08-19 01:03:00
1575,2023-08-19 00:00:00,196,Feeder_3,Weather (Heavy Rain),829,2023-08-19 03:16:00
1576,2023-08-19 10:00:00,139,Feeder_7,Unknown,426,2023-08-19 12:19:00
1577,2023-08-19 16:00:00,193,Feeder_8,Planned Maintenance,307,2023-08-19 19:13:00
1578,2023-08-19 19:00:00,53,Feeder_4,Weather (Heavy Rain),600,2023-08-19 19:53:00
1579,2023-08-19 20:00:00,274,Feeder_3,Weather (High Wind),784,2023-08-20 00:34:00
1580,2023-08-19 22:00:00,396,Feeder_1,Overload,646,2023-08-20 04:36:00
1581,2023-08-19 23:00:00,17,Feeder_9,Tree Contact,57,2023-08-19 23:17:00
1582,2023-08-20 02:00:00,78,Feeder_10,Overload,717,2023-08-20 03:18:00
